menu_name,sub_intent_name,description,model,reasoning,typo_issues,consistency_issues,quality_issues,clarity_score,judgment_issues,can_judge_user_intent,missing_info,severity,suggestion
快速转账,提供收款信息，如收款卡、收款人手机、收款银行,,Qwen/Qwen3-8B,,,菜单名称与描述内容不匹配|子意图未明确与菜单的关联,描述不清晰|缺乏业务场景示例|内容过于简略,2,描述内容为空，无法判断用户意图,False,缺少菜单意图的具体描述和业务场景说明,critical,请补充菜单描述内容，明确菜单功能、适用场景及子意图之间的关系，以提升用户体验和意图识别准确性。
快速转账,提供付款卡信息，如卡号、卡尾号、卡别名/备注,,openpangu-2.0-flash,,,描述内容为空，无法判断菜单名与描述的一致性。子意图名'提供付款卡信息'与菜单名'快速转账'可能存在业务逻辑不一致：快速转账通常指转账操作，而子意图聚焦于信息提供，需明确两者关联。,描述内容为空，缺乏清晰度、长度和业务场景示例；无法区分此菜单意图，对非金融专业人士不友好；无具体金融业务上下文。,1,描述内容为空，用户无法基于空描述判断查询是否属于此类别。,False,需要补充完整的描述内容，包括：子意图的业务定义（如提供卡信息在快速转账中的用途）、具体示例（如用户输入场景）、边界信息（如是否包含验证步骤）、以及与其他菜单的区分点。,critical,"必须立即补充描述内容，建议格式：'在快速转账场景中，当用户需要提供付款卡信息（如卡号、卡尾号、卡别名/备注）以完成转账时，触发此子意图。示例：用户询问""我的卡尾号是多少？""或""如何添加卡别名？""。' 同时，应确认子意图与菜单名的一致性，避免业务逻辑混淆。"
快速转账,提供转账金额,,qwen-plus,,,,,0,,False,,unknown,
快速转账,修改收款信息，如收款卡、收款人手机、收款银行,,Qwen/Qwen3-8B,,,,描述内容为空，无法明确说明该菜单意图|缺乏具体金融业务上下文示例,1,描述内容为空，无法帮助用户判断查询是否属于该菜单意图,False,需要具体的描述内容来帮助用户识别菜单意图,critical,建议补充具体的描述内容，明确说明该菜单的功能和适用场景，例如：'用于快速修改转账时的收款人信息，包括收款银行卡号、收款人手机号及收款银行名称'，以提升用户理解度和意图识别的准确性。
快速转账,修改付款卡信息，如卡号、卡尾号、卡别名/备注,,openpangu-2.0-flash,,,,,0,,False,,unknown,
快速转账,修改转账金额,,qwen-plus,,,,,0,,False,,unknown,
FAQ,基础概念咨询与科普,用户询问某个金融或业务术语的定义和解释,Qwen/Qwen3-8B,,,,,5,,True,,none,描述清晰且准确，无需修改。
FAQ,平台/系统/APP操作指导,用户咨询如何完成某项具体操作，如“如何修改手机号”,openpangu-2.0-flash,,,菜单名'FAQ'与子意图描述'平台/系统/APP操作指导'不匹配，FAQ应涵盖更广泛问题，而描述聚焦于具体操作指导，存在张冠李戴风险。,描述缺乏银行金融业务的具体上下文，如未明确是银行APP、系统或平台的操作。,4,缺少银行上下文，可能导致用户无法准确判断非银行操作是否属于此类别。,False,缺少对操作类型的银行/金融上下文限定，如明确为银行APP、系统或平台的操作。,major,建议将菜单名更改为更匹配的描述，如'操作指导'或'APP操作指南'，并在描述中明确银行金融业务范围，添加更多银行相关示例（如'如何修改银行卡手机号'）。
FAQ,基金/理财相关的申购、赎回、费用规则咨询,用户咨询购买、卖出或相关费用的具体政策,qwen-plus,,,,,0,,False,,unknown,
FAQ,业务政策咨询,用户咨询某项业务的规则、限制、资质要求等,Qwen/Qwen3-8B,,,,,5,,True,,none,当前菜单定义清晰、准确，无需修改。
FAQ,基金/理财收益与分红计算规则咨询,用户咨询收益如何计算、分红规则等,openpangu-2.0-flash,,,,描述过于简短，未提供具体业务场景|用语存在歧义，收益和分红类型未明确|对非金融专业人士可能不易理解,3,描述未限定金融产品范围，如股票、保险等可能被误纳入|缺乏关键区分信息,False,需要明确说明仅限基金和理财产品，并定义收益计算的具体方式（如净值收益、预期收益）和分红规则（如现金分红、红利再投资）。,major,建议将描述扩展为：'用户咨询关于基金和银行理财产品的收益计算方式（如净值收益、预期收益）及分红规则（如现金分红、红利再投资），包括相关公式、示例和常见问题。' 以确保清晰度和可判断性。
FAQ,账户注册、登录、绑定方法咨询,用户咨询账户相关的入门操作问题,qwen-plus,,,,,0,,False,,unknown,
还款追问,还款类型追问,,Qwen/Qwen3-8B,,,,描述内容为空，无法评估清晰度、长度、歧义性或业务场景示例,0,描述内容缺失，无法判断用户意图是否属于该菜单,False,还款类型追问的具体描述信息,critical,请补充详细的描述内容，明确'还款类型追问'的定义、功能及适用场景，以确保菜单定义的准确性和可操作性。
其他,账户管理（包括查余额和查明细）,,openpangu-2.0-flash,,,菜单名称'其他'与子意图名称'账户管理'不匹配，存在张冠李戴风险|描述内容为空，无法验证与菜单名的一致性,描述内容为空，缺乏任何信息|菜单名称'其他'过于模糊，易导致歧义|缺少清晰度、业务场景示例和具体上下文,1,描述为空，用户无法判断意图|菜单名'其他'不具指导性，区分信息缺失,False,缺少描述内容、业务边界定义、示例查询、与'其他'菜单的兜底逻辑说明,critical,必须补充详细的描述内容，明确菜单意图和边界；建议将菜单名更改为'账户管理'或类似具体名称，或为'其他'菜单提供兜底说明（如'其他未分类查询'）。同时，描述应包含业务场景、示例和区分信息，以提升可用性。
其他,缴费,,qwen-plus,,,,,0,,False,,unknown,
其他,贷款（贷款办理、贷款还款）,,Qwen/Qwen3-8B,,,菜单名称与其他子意图之间缺乏明确匹配关系|未提供具体描述内容,描述内容为空，无法体现清晰度|描述未提供具体上下文或业务场景示例|描述缺乏区分信息，存在歧义性,0,用户无法根据空描述判断是否属于该菜单意图|缺失关键区分信息,False,缺少明确的业务场景、意图说明或具体功能描述,critical,建议补充完整描述内容，明确菜单意图、子意图之间的关系，并提供具体的业务场景或功能说明以帮助用户理解。
其他,信用卡（信用卡办理、还款等）,,openpangu-2.0-flash,,,菜单名'其他'与子意图'信用卡'不一致，'其他'通常表示杂项或未分类项，而子意图是具体业务，易导致张冠李戴。,描述内容为空，无法提供任何意图区分信息|缺乏清晰度，非金融专业人士无法理解|描述长度过短，没有业务场景示例|存在潜在歧义，因无上下文,1,描述为空，用户无法判断查询是否属于此类别|缺乏所有必要的区分信息,False,需要添加描述内容，包括信用卡办理、还款等具体业务场景、用户需求示例、与其他菜单的区分边界信息。,critical,必须补充描述内容，建议重写为'信用卡相关业务，包括信用卡申请、办理、还款、查询账单、额度调整等'；同时考虑将菜单名改为'信用卡服务'以与子意图一致，避免使用'其他'。
其他,资产管理（资产分析、资产诊断等）,,qwen-plus,,,,,0,,False,,unknown,
其他,渠道管理，如U盾、密码管理、注册手机银行等,,Qwen/Qwen3-8B,,语法错误：'渠道管理，如U盾、密码管理、注册手机银行等'中逗号使用不规范，应使用句号或分号。,菜单名'其他'与子意图'渠道管理'不匹配，缺乏明确关联。|子意图之间未明确区分，可能重叠。,描述不清晰，未明确说明该菜单的功能范围。|缺乏业务场景示例，难以理解具体用途。|描述过简，无法有效引导用户判断意图。,1,用户无法根据描述准确判断查询是否属于该菜单。|缺少关键区分信息，如具体业务操作或功能范围。,False,缺少具体的功能描述与业务场景示例，无法帮助用户判断意图是否属于该菜单。,critical,建议重新定义菜单名称，明确其功能范围，并补充具体业务场景示例，以提高描述的清晰度与用户判断意图的能力。
其他,存款,,openpangu-2.0-flash,,,菜单名'其他'与子意图'存款'不匹配，存款属于具体业务类别，通常不应置于'其他'下；描述内容为空，无法验证匹配性。,描述内容为空，无法提供清晰意图定义；缺乏业务场景示例；长度不足，无法理解；无歧义性但整体信息缺失。,1,描述缺失，用户无法判断查询是否属于此类别；缺少关键区分信息。,False,缺少对存款意图的定义、业务范围、示例、适用场景等必要信息。,critical,必须立即添加描述内容，明确存款业务的具体范围、定义和示例，并重新评估菜单名'其他'是否适合作为存款的父菜单，建议调整为更具体的菜单名称。
其他,外汇,,qwen-plus,,,,,0,,False,,unknown,
其他,担保,,Qwen/Qwen3-8B,,,菜单名称'其他'与子意图'担保'之间缺乏明确的关联性，描述为空导致无法判断是否匹配,描述为空，无法评估清晰度、长度、歧义性或业务场景示例,0,描述为空，用户无法依据此信息判断意图是否属于该菜单,False,缺少具体的业务场景描述和意图定义,critical,请补充描述内容，明确菜单'其他'下子意图'担保'的具体定义、业务场景以及与其他菜单的区别，以提升意图识别的准确性和用户理解度。
其他,托管,,openpangu-2.0-flash,,,描述内容为空，无法验证菜单名'其他'与描述的匹配性|子意图'托管'与菜单名'其他'的业务关联性不明确，可能存在归类错误,描述内容为空，缺乏清晰度、长度控制、歧义性说明及业务场景示例,1,描述为空，用户无法判断查询是否属于此类别,False,缺少菜单定义、业务描述、示例查询、区分信息（如托管业务的具体范围、与其他菜单的边界）,critical,必须添加详细的描述内容，明确定义'托管'子意图的业务范围、适用场景、示例查询及与其他菜单的区分信息，以确保用户和系统能正确理解和使用此菜单类别。
其他,保险代理,,qwen-plus,,,,,0,,False,,unknown,
其他,证券,,Qwen/Qwen3-8B,,,,描述内容为空，无法判断清晰度和业务场景示例,0,描述内容为空，无法判断用户意图是否符合该菜单,False,具体的描述内容,critical,请补充详细的菜单描述，明确说明该菜单意图及相关的金融业务场景示例，以确保用户能够准确判断其意图是否属于该类别。
其他,债券,,openpangu-2.0-flash,,,菜单名'其他'与描述内容不匹配，描述为空|子意图'债券'属于'其他'菜单，分类逻辑可能存在不一致，因债券是常见金融产品，通常不应归为'其他',描述内容为空，清晰度极低，无法明确区分意图|长度不足，未提供任何信息|存在歧义性，因无内容可参考|缺少业务场景示例，无法用于非金融专业人士理解,1,用户无法根据空描述判断查询是否属于此类别|缺少关键区分信息，如债券定义、查询范围、与其他菜单的边界,False,缺少债券子意图的业务定义、典型查询场景、示例查询、与股票/基金等其他金融产品的区分标准,critical,立即为'债券'子意图添加详细描述，包括：1) 债券相关业务的明确定义；2) 典型用户查询场景（如债券价格查询、收益率计算、债券类型识别）；3) 区分债券与其他金融产品的关键特征。同时，重新评估菜单名'其他'的适用性，建议将'债券'移至'投资产品'或'固定收益'等专门菜单。
默认分类,寻求情感安慰或共情,,qwen-plus,,,,,0,,False,,unknown,
默认分类,讨论兴趣爱好以及寻求互动,,Qwen/Qwen3-8B,,,,描述内容为空，无法判断意图清晰度和业务场景,0,描述内容缺失，无法判断用户意图是否属于该菜单,False,缺失具体的描述内容，无法明确该菜单意图,critical,请补充描述内容，明确该菜单意图及对应的金融业务场景，以确保其可识别性和准确性。
默认分类,寻求生活建议,,openpangu-2.0-flash,,,菜单名称'默认分类'与子意图'寻求生活建议'语义不匹配，菜单名称过于通用，且描述内容为空，无法验证一致性。,描述内容为空，完全缺乏清晰度，无法区分此菜单意图。|描述长度过短，缺乏必要细节和业务场景示例。|对非金融专业人士不友好，未提供任何银行相关上下文。|存在严重歧义性，因无内容定义。,1,描述内容为空，用户无法基于此描述判断任何查询是否属于此类别。|缺失所有必要区分信息。,False,缺少'寻求生活建议'在银行业务中的具体定义、范围、与金融相关的上下文（如财务规划、投资建议、信贷咨询等）、示例查询、以及与其他菜单的区分边界。,critical,必须立即填充描述内容，明确'寻求生活建议'在银行场景下的含义，例如：'提供与个人财务、投资、储蓄、信贷等相关的日常生活建议。' 并添加具体示例、适用查询类型，确保菜单名称与意图一致，避免过于通用。
默认分类,测试客服是否为AI、测试AI的智能程度与边界,,qwen-plus,,,,,0,,False,,unknown,
默认分类,询问客服个人信息、询问AI的个人信息,,Qwen/Qwen3-8B,,,菜单名称与子意图不匹配，缺乏明确分类；子意图名称存在重叠，如'询问客服个人信息'和'询问AI的个人信息',描述内容为空，无法明确区分意图；缺乏清晰度和业务场景示例；语言不够专业,1,描述内容为空，用户无法通过该信息判断意图是否属于此菜单,False,缺失具体的业务场景和意图描述,critical,建议重新定义菜单名称，明确业务分类；为子意图提供清晰、具体的描述，避免重叠；补充业务场景示例，提升意图识别的准确性。
默认分类,抽象哲学话题、假设性问题、脑筋急转弯,,openpangu-2.0-flash,,,,,0,,False,,unknown,
默认分类,进行简单的语言或文字游戏,,qwen-plus,,,,,0,,False,,unknown,
默认分类,表达感谢或礼貌性问候,,Qwen/Qwen3-8B,,,,描述内容为空，无法评估清晰度、长度、歧义性及业务场景示例,0,描述内容为空，无法判断用户意图是否属于该菜单,False,具体的描述内容,critical,请提供完整的菜单描述内容，以便进行准确的质量评估和意图分类判断。
默认分类,抱怨或倾诉与金融无关的生活琐事（非投诉）,,openpangu-2.0-flash,,子意图名称中括号使用半角，建议使用全角括号以符合中文标点规范。,菜单名'默认分类'与子意图'抱怨或倾诉与金融无关的生活琐事（非投诉）'不匹配，菜单名过于泛化，未能准确反映子意图内容。,描述内容为空，无法提供任何意图信息。|缺少业务场景示例，用户难以理解具体上下文。|描述不清晰，无法区分此菜单意图与其他类别。,1,描述为空，仅凭子意图名称信息不足，用户可能无法准确判断查询是否属于此类。|缺少关键区分信息，如'金融无关'的界定、'生活琐事'的范围、'非投诉'的标准。,False,需要具体的生活琐事示例、与金融业务的明确区分标准、非投诉的界定、以及常见用户查询场景。,critical,补充完整的描述内容，包括意图定义、业务场景示例、与金融业务的区分标准、非投诉的具体说明，并考虑将菜单名修改为更准确反映意图的名称，如'非金融生活琐事倾诉'。
默认分类,询问其他非银行业务的实用信息,,qwen-plus,,,,,0,,False,,unknown,
默认分类,进行无具体目的的开放性对话,,Qwen/Qwen3-8B,,,,描述内容为空，无法明确区分意图|缺乏具体的金融业务上下文,1,描述内容为空，用户无法判断查询是否属于此分类,False,缺少具体的描述内容以帮助用户识别意图,critical,建议补充详细描述，明确该菜单意图的适用范围和目的，并结合具体的金融业务场景进行说明以提高可理解性和判断准确性。
