menu_name,sub_intent_name,description,model,reasoning,typo_issues,consistency_issues,quality_issues,clarity_score,judgment_issues,can_judge_user_intent,missing_info,severity,suggestion
FAQ,业务政策咨询,用户咨询某项业务的规则、限制、资质要求等,Qwen/Qwen3-8B,,,,描述不够具体，未提及具体金融业务场景|缺乏示例帮助理解|对非金融专业人士不够清晰,3,未包含具体业务上下文，用户难以判断是否适用,False,缺少具体的金融业务名称或场景示例,minor,建议在描述中增加具体的金融业务示例，如'贷款业务的规则、限制和资质要求'，以提高清晰度和用户判断意图的准确性。
FAQ,基金/理财收益与分红计算规则咨询,用户咨询收益如何计算、分红规则等,openpangu-2.0-flash,,,菜单名'FAQ'过于宽泛，与具体子意图描述不匹配，易造成张冠李戴,描述过于简短，缺乏具体业务场景示例|使用'等'字可能导致歧义，未明确区分基金和理财的收益计算规则|描述未包含金融业务上下文，对非金融专业人士理解性一般,3,描述信息不足，用户可能无法准确判断查询是否属于此类别|未明确产品类型和计算依据，易与其他菜单混淆,False,缺少具体产品类型（如基金、理财）、计算依据（如净值、年化收益率）、分红方式（如现金分红、红利再投资）、计算周期（如每日、每月）等关键区分信息,minor,建议将菜单名改为更具体的名称，如'收益与分红计算规则'；扩展描述内容，明确产品类型、计算规则和场景示例，并移除'等'字以减少歧义。
FAQ,账户注册、登录、绑定方法咨询,用户咨询账户相关的入门操作问题,qwen-plus,,,,,0,,False,,unknown,
还款追问,还款类型追问,,Qwen/Qwen3-8B,,,,描述内容缺失，无法评估清晰度、歧义性、业务场景示例等内容,0,描述缺失，无法判断用户意图是否匹配该菜单,False,描述内容缺失,critical,请补充完整的描述内容，以便进行有效的菜单定义质量评估。
其他,账户管理（包括查余额和查明细）,,openpangu-2.0-flash,,,菜单名称'其他'与子意图名称'账户管理'不匹配，'其他'为泛化类别，而'账户管理'为具体功能，存在张冠李戴风险。,描述内容为空，无法提供任何业务信息。|清晰度极低，用户无法理解菜单意图。|长度不足，应包含详细说明。|存在歧义性，无上下文。|缺少业务场景示例，如查余额、查明细的具体操作。,1,描述为空，用户无法判断查询是否属于此类别。,False,需要描述此菜单的具体功能范围，包括账户管理的详细内容、适用查询类型、业务场景示例（如查余额、查明细的步骤或条件）。,critical,立即填写描述内容，详细说明账户管理功能（包括查余额和查明细），并建议将菜单名称改为'账户管理'以保持一致性。确保描述清晰、无歧义，包含具体业务场景，提升用户可理解性。
其他,缴费,,qwen-plus,,,,,0,,False,,unknown,
其他,贷款（贷款办理、贷款还款）,,Qwen/Qwen3-8B,,,菜单名称'其他'与子意图'贷款（贷款办理、贷款还款）'不匹配，缺乏明确的上下文关联,描述内容为空，无法体现意图内容及业务场景|缺乏清晰度和区分度,0,描述内容为空，用户无法判断查询是否属于此菜单,False,缺少具体的描述内容，无法明确菜单意图及业务场景,critical,建议补充详细的描述内容，明确'其他'菜单下'贷款（贷款办理、贷款还款）'的意图范围及相关业务场景，以提升菜单定义的准确性和可理解性。
其他,信用卡（信用卡办理、还款等）,,openpangu-2.0-flash,,,菜单名'其他'与子意图'信用卡'不匹配，'其他'通常表示非主要类别，而信用卡是具体业务，可能导致分类混淆。,描述内容为空，无法提供任何业务上下文。|清晰度极低，非金融专业人士无法理解菜单意图。|缺乏业务场景示例。,1,描述为空，用户无法基于描述判断查询是否属于此类别。|菜单名'其他'过于模糊，与具体子意图结合时易产生歧义。,False,缺少对菜单意图的具体描述，包括业务范围、典型查询示例、与其他菜单的区分信息。,critical,建议重写菜单定义：1. 将菜单名改为'信用卡'以匹配子意图；2. 添加详细描述，包括信用卡办理、还款、查询等业务场景；3. 提供具体示例以增强清晰度。
其他,资产管理（资产分析、资产诊断等）,,qwen-plus,,,,,0,,False,,unknown,
其他,渠道管理，如U盾、密码管理、注册手机银行等,,Qwen/Qwen3-8B,,,菜单名称与其他子意图不匹配，缺乏明确描述|子意图之间无重叠，但整体菜单定义不清晰,描述不清晰|缺乏具体业务场景示例|歧义性高,2,描述内容为空，无法帮助用户判断意图|缺乏必要的区分信息,False,具体的业务场景描述和子意图的详细说明,critical,请补充完整菜单描述，明确其涵盖的业务场景，并对子意图进行详细说明以提高清晰度和可判断性。
其他,存款,,openpangu-2.0-flash,,,描述内容为空，无法检查菜单名与描述的匹配性|菜单名'其他'与子意图'存款'在语义上可能不匹配，'其他'通常表示非特定类别，而'存款'是具体业务,描述内容为空，无法提供任何业务信息|清晰度极低，用户无法理解此菜单意图|长度不足，缺少必要信息|歧义性高，没有上下文|没有业务场景示例,1,描述内容为空，用户无法判断任何查询是否属于此类别,False,描述内容缺失，需要提供存款业务的具体定义、范围、业务场景示例、与其他菜单的区分信息,critical,必须添加详细的描述内容，包括存款业务的定义、范围、业务场景示例，并确保菜单名'其他'与子意图'存款'的逻辑一致性；建议重新评估菜单命名，或补充描述以明确此菜单的用途。
其他,外汇,,qwen-plus,,,,,0,,False,,unknown,
其他,担保,,Qwen/Qwen3-8B,,,菜单名称与子意图名称之间缺乏一致性，描述为空无法判断意图匹配性|同一菜单下缺乏子意图之间的区分与覆盖检查,描述为空，无法体现清晰度|缺少业务场景示例导致缺乏上下文|存在歧义性，未明确担保的具体范围,0,描述为空，无法帮助用户判断意图是否匹配|缺乏必要的区分信息,False,担保的具体业务范围、场景示例及与'其他'菜单的区分说明,critical,建议补充担保相关描述，明确其业务范围、场景示例及与'其他'菜单的区分依据，确保菜单定义完整、清晰、一致。
其他,托管,,openpangu-2.0-flash,,,描述内容为空，无法判断菜单名'其他'与子意图'托管'的描述匹配性|描述内容为空，无法检查同一菜单下子意图之间的重复或重叠,描述内容为空，完全无法理解意图|缺乏清晰度，对非金融专业人士不友好|长度过短，无详细信息|无业务场景示例,1,描述为空，用户无法判断查询是否属于此类别,False,缺少托管业务的定义、范围、适用场景、示例等关键区分信息,critical,必须补充描述内容，明确托管业务的具体含义、业务范围、用户场景示例，以便用户和系统正确理解意图。
其他,保险代理,,qwen-plus,,,,,0,,False,,unknown,
其他,证券,,Qwen/Qwen3-8B,,,菜单名称'其他'与子意图名称'证券'之间缺乏一致性，无法明确其逻辑关联性,描述内容为空，无法明确区分该菜单意图|缺乏清晰度和业务场景示例|存在歧义性，无法判断该菜单意图的适用范围,1,描述内容为空，用户无法仅凭此判断是否属于该类别,False,缺少具体的业务场景和意图描述,critical,建议重新定义菜单名和子意图的逻辑关系，并补充详细的描述内容，明确该菜单意图的适用范围和业务场景，以提高用户理解和区分能力。
其他,债券,,openpangu-2.0-flash,,,菜单名'其他'与子意图'债券'语义不匹配。'其他'通常表示非主要或剩余类别，而'债券'是具体金融产品类别。,描述内容为空，缺乏清晰度、业务示例和长度控制。,1,用户无法根据空描述判断查询意图。,False,缺少债券菜单的定义、业务范围、典型查询示例等关键信息。,critical,建议立即添加债券子意图的详细描述，包括定义、业务范围、业务场景示例，并考虑将菜单名从'其他'改为更合适的名称，如'债券业务'或'固定收益'，以确保一致性。
默认分类,寻求情感安慰或共情,,qwen-plus,,,,,0,,False,,unknown,
默认分类,讨论兴趣爱好以及寻求互动,,Qwen/Qwen3-8B,,,菜单名称与子意图名称不匹配|描述内容与菜单意图不一致,描述内容为空，无法明确意图|缺乏业务场景示例|存在歧义性,0,描述内容为空，无法判断用户意图,False,缺乏具体的意图描述和业务场景示例,critical,建议补充详细描述，明确该菜单意图所对应的业务场景及具体功能，确保菜单名称与子意图名称及描述内容一致，以提高意图识别的准确性和用户体验。
默认分类,寻求生活建议,,openpangu-2.0-flash,,,描述内容为空，无法与菜单名'默认分类'匹配,描述内容缺失，清晰度极低|长度过短，无详细信息|无业务场景示例|无法区分菜单意图,1,用户无法根据空描述判断查询是否属于此类别,False,缺少描述内容、具体定义、业务场景示例、区分信息,critical,立即补充描述内容，明确该菜单意图的定义、适用场景、业务示例，并与其他子意图区分
默认分类,测试客服是否为AI、测试AI的智能程度与边界,,qwen-plus,,,,,0,,False,,unknown,
默认分类,询问客服个人信息、询问AI的个人信息,,Qwen/Qwen3-8B,,,菜单名称与子意图不匹配|子意图之间存在语义重叠,描述内容为空，无法明确意图|缺乏清晰度和业务场景示例|存在歧义性,1,描述内容为空，无法帮助用户判断意图,False,缺少具体的描述内容，无法区分用户意图,critical,建议重新定义菜单名称和子意图，确保语义一致并补充具体描述内容以提高清晰度和判断可行性。
默认分类,抽象哲学话题、假设性问题、脑筋急转弯,,openpangu-2.0-flash,,,菜单名'默认分类'与子意图内容（抽象哲学话题、假设性问题、脑筋急转弯）不匹配，菜单名暗示通用分类，但子意图指向特定非金融话题；描述内容为空，无法验证一致性,描述内容为空，无法提供任何意图区分信息；无业务场景示例；对非金融专业人士不友好；长度过短,1,描述缺失，用户无法基于任何信息判断查询是否属于此类别,False,需要添加描述内容，明确菜单的意图范围、适用场景、与金融业务的区分标准、具体示例等,critical,必须补充描述内容，明确菜单意图（例如定义此菜单用于处理非金融的抽象话题），并考虑重命名菜单以匹配子意图（如'非金融抽象话题'），或调整子意图以符合'默认分类'的定位。
默认分类,进行简单的语言或文字游戏,,qwen-plus,,,,,0,,False,,unknown,
默认分类,表达感谢或礼貌性问候,,Qwen/Qwen3-8B,,,菜单名称与子意图名称不匹配|菜单描述为空,描述不清晰|缺乏业务场景示例|过于简略,1,描述空缺无法判断意图|缺乏区分信息,False,缺少具体描述和业务场景示例,critical,需要补充明确的描述内容，说明该菜单意图对应的业务场景和具体用途，确保菜单名称与意图匹配，并避免模糊或空缺的描述。
默认分类,抱怨或倾诉与金融无关的生活琐事（非投诉）,,openpangu-2.0-flash,,,描述内容为空，无法验证与菜单名的匹配。菜单名'默认分类'为通用分类，与子意图具体内容不一致，可能导致张冠李戴。,描述内容为空，缺乏清晰度、具体长度、业务场景示例和歧义性控制。,1,描述内容为空，用户无法基于空描述判断查询是否属于此类别。,False,缺少描述内容，需补充定义、边界、正反示例、与非投诉的区分、金融无关生活琐事的具体场景等。,critical,必须立即补充描述内容，明确定义子意图范围，包括非金融生活琐事的具体例子、与投诉的区分、业务上下文，并考虑将菜单名重命名为更贴合的名称，如'非金融生活抱怨'。
默认分类,询问其他非银行业务的实用信息,,qwen-plus,,,,,0,,False,,unknown,
默认分类,进行无具体目的的开放性对话,,Qwen/Qwen3-8B,,,菜单名与描述不匹配|子意图描述与菜单分类不一致,描述不清晰|缺乏具体业务场景示例|描述过短|存在歧义性,1,无法判断用户意图|缺乏必要的区分信息,False,需要提供具体的业务场景示例及描述内容以帮助用户判断意图,critical,请补充描述内容，明确该菜单的业务场景和意图，并确保菜单名称与子意图描述匹配，提高清晰度和可判断性。
